Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.5175237266008149,0.07384690428651604,98.62385321100918
2,0.08441554542942578,0.02966891750595226,99.08256880733946
3,0.2035599909213705,0.004332463143218287,99.54128440366972
4,0.26172457298644963,3.273062941627099,88.07339449541284
5,0.5725158747395116,0.23372215139014177,99.08256880733946
6,0.19122745517461537,0.6422747501305172,97.70642201834862
7,0.3602810747679376,0.42058039563042776,99.08256880733946
8,0.41750214310701345,0.3233549403043331,98.1651376146789
9,0.687132871828296,0.016120136582425663,99.54128440366972
10,0.28228527838589135,1.0921225084790136,98.62385321100918
